index_id,ticker,start_date,end_date,weight_at_entry
HSI,0001.HK,2014-01-01,,
HSI,0002.HK,2014-01-01,,
HSI,0003.HK,2014-01-01,,
HSI,0005.HK,2014-01-01,,
HSI,0006.HK,2014-01-01,,
HSI,0011.HK,2014-01-01,,
HSI,0012.HK,2014-01-01,,
HSI,0016.HK,2014-01-01,,
HSI,0017.HK,2014-01-01,,
HSI,0027.HK,2014-01-01,,
HSI,0066.HK,2014-01-01,,
HSI,0083.HK,2014-01-01,,
HSI,0101.HK,2014-01-01,,
HSI,0175.HK,2014-01-01,,
HSI,0241.HK,2014-01-01,,
HSI,0267.HK,2014-01-01,,
HSI,0288.HK,2014-01-01,,
HSI,0291.HK,2014-01-01,,
HSI,0386.HK,2014-01-01,,
HSI,0388.HK,2014-01-01,,
HSI,0688.HK,2014-01-01,,
HSI,0700.HK,2014-01-01,,
HSI,0762.HK,2014-01-01,,
HSI,0823.HK,2014-01-01,,
HSI,0857.HK,2014-01-01,,
HSI,0883.HK,2014-01-01,,
HSI,0939.HK,2014-01-01,,
HSI,0941.HK,2014-01-01,,
HSI,0992.HK,2014-01-01,,
HSI,1038.HK,2014-01-01,,
HSI,1044.HK,2014-01-01,,
HSI,1093.HK,2014-01-01,,
HSI,1109.HK,2014-01-01,,
HSI,1113.HK,2014-01-01,,
HSI,1177.HK,2014-01-01,,
HSI,1209.HK,2020-12-09,,
HSI,1211.HK,2014-01-01,,
HSI,1299.HK,2014-01-01,,
HSI,1378.HK,2014-01-01,,
HSI,1398.HK,2014-01-01,,
HSI,1810.HK,2018-07-09,,
HSI,1876.HK,2014-01-01,,
HSI,1928.HK,2014-01-01,,
HSI,1997.HK,2014-01-01,,
HSI,2007.HK,2014-01-01,,
HSI,2015.HK,2021-08-12,,
HSI,2018.HK,2014-01-01,,
HSI,2020.HK,2014-01-01,,
HSI,2269.HK,2014-01-01,,
HSI,2313.HK,2014-01-01,,
HSI,2318.HK,2014-01-01,,
HSI,2319.HK,2014-01-01,,
HSI,2331.HK,2014-01-01,,
HSI,2382.HK,2014-01-01,,
HSI,2388.HK,2014-01-01,,
HSI,2628.HK,2014-01-01,,
HSI,2688.HK,2014-01-01,,
HSI,2899.HK,2014-01-01,,
HSI,3690.HK,2018-09-20,,
HSI,3968.HK,2014-01-01,,
HSI,3988.HK,2014-01-01,,
HSI,6098.HK,2018-06-19,,
HSI,6618.HK,2020-12-08,,
HSI,6862.HK,2018-09-26,,
HSI,9618.HK,2020-06-18,,
HSI,9633.HK,2020-09-08,,
HSI,9888.HK,2021-03-23,,
HSI,9988.HK,2019-11-26,,
HSI,9999.HK,2020-06-11,,
